Model Name,Matching Word,Downloads,created_at,last_modified,contains_paper,paper_code,paper_code_clean
nvidia/Mistral-NeMo-Minitron-8B-Base,code generation,17591,2024-08-19 21:39:52+00:00,2024-08-19 21:39:52+00:00,True,report](https://arxiv.org/abs/2408.11796),https://arxiv.org/abs/2408.11796
Salesforce/codet5-base,code generation,17192,2022-03-02 23:29:04+00:00,2022-03-02 23:29:04+00:00,True,Generation](https://arxiv.org/abs/2109.00859),https://arxiv.org/abs/2109.00859
google/codegemma-7b,code generation,17207,2024-03-21 16:56:49+00:00,2024-03-21 16:56:49+00:00,False,,
m-a-p/OpenCodeInterpreter-DS-6.7B,code generation,16728,2024-02-19 05:25:15+00:00,2024-02-19 05:25:15+00:00,True,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658
Salesforce/codet5p-220m-bimodal,codegen,16258,2023-07-19 13:39:52+00:00,2023-07-19 13:39:52+00:00,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
Qwen/CodeQwen1.5-7B-Chat,code generation,15436,2024-04-15 07:17:06+00:00,2024-04-15 07:17:06+00:00,False,,
unsloth/Phi-3.5-mini-instruct,code generation,14136,2024-08-20 20:19:32+00:00,2024-08-20 20:19:32+00:00,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
NousResearch/Hermes-3-Llama-3.1-8B-GGUF,code generation,12701,2024-08-05 04:56:41+00:00,2024-08-05 04:56:41+00:00,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
Salesforce/codegen-350M-mono,code generation,12321,2022-04-11 16:18:21+00:00,2022-04-11 16:18:21+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
tokyotech-llm/Llama-3-Swallow-8B-Instruct-v0.1,code generation,12045,2024-06-26 04:11:25+00:00,2024-06-26 04:11:25+00:00,False,,
CohereForAI/c4ai-command-r-v01,code-generation,11198,2024-03-11 15:50:54+00:00,2024-03-11 15:50:54+00:00,False,,
Qwen/CodeQwen1.5-7B,code generation,11002,2024-04-15 05:38:30+00:00,2024-04-15 05:38:30+00:00,False,,
Salesforce/codet5p-220m,code generation,9546,2023-05-13 10:34:57+00:00,2023-05-13 10:34:57+00:00,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
Qwen/CodeQwen1.5-7B-Chat-GGUF,code generation,8969,2024-04-15 12:38:36+00:00,2024-04-15 12:38:36+00:00,False,,
PartAI/Dorna-Llama3-8B-Instruct,code generation,8582,2024-06-01 13:06:09+00:00,2024-06-01 13:06:09+00:00,False,,
NousResearch/Hermes-3-Llama-3.1-70B,code generation,7473,2024-07-29 14:27:57+00:00,2024-07-29 14:27:57+00:00,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
Deci/DeciCoder-1b,code generation,7254,2023-08-16 14:52:10+00:00,2023-08-16 14:52:10+00:00,True,2023](https://arxiv.org/abs/2305.13245),https://arxiv.org/abs/2305.13245
tokyotech-llm/Llama-3-Swallow-8B-v0.1,code generation,6842,2024-05-20 06:36:00+00:00,2024-05-20 06:36:00+00:00,True,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733
cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,codegen,6733,2024-07-23 20:04:51+00:00,2024-07-23 20:04:51+00:00,False,,
cognitivecomputations/dolphin-2.9.1-llama-3-8b,codegen,6494,2024-05-10 05:42:26+00:00,2024-05-10 05:42:26+00:00,False,,
cognitivecomputations/dolphin-2.9.1-mixtral-1x22b,codegen,6466,2024-05-22 20:15:46+00:00,2024-05-22 20:15:46+00:00,False,,
Salesforce/codet5p-770m,code generation,6431,2023-05-13 13:34:17+00:00,2023-05-13 13:34:17+00:00,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b-gguf,codegen,6310,2024-07-24 16:00:27+00:00,2024-07-24 16:00:27+00:00,False,,
bigscience/bloom,code generation,6067,2022-05-19 11:53:33+00:00,2022-05-19 11:53:33+00:00,True,https://arxiv.org/abs/2211.02001,https://arxiv.org/abs/2211.02001
ibm-granite/granite-3b-code-base-2k,code generation,5674,2024-04-23 03:59:34+00:00,2024-04-23 03:59:34+00:00,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
google/codegemma-7b-it,code generation,5575,2024-03-21 16:57:43+00:00,2024-03-21 16:57:43+00:00,False,,
Salesforce/codegen-350M-multi,code generation,5498,2022-04-11 16:11:35+00:00,2022-04-11 16:11:35+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
ibm-granite/granite-20b-code-base-8k,code generation,5412,2024-04-21 07:49:56+00:00,2024-04-21 07:49:56+00:00,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
CohereForAI/c4ai-command-r-08-2024,code-generation,5155,2024-08-19 07:40:11+00:00,2024-08-19 07:40:11+00:00,False,,
monster-labs/control_v1p_sdxl_qrcode_monster,code generation,5130,2023-11-06 01:22:41+00:00,2023-11-06 01:22:41+00:00,False,,
QuantFactory/Phi-3.5-mini-instruct-GGUF,code generation,5018,2024-08-21 01:19:18+00:00,2024-08-21 01:19:18+00:00,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
MaziyarPanahi/calme-2.1-qwen2-72b,code generation,4954,2024-06-08 20:26:22+00:00,2024-06-08 20:26:22+00:00,False,,
CohereForAI/c4ai-command-r-plus,code-generation,4950,2024-04-03 13:27:04+00:00,2024-04-03 13:27:04+00:00,False,,
NousResearch/Hermes-3-Llama-3.1-405B-FP8,code generation,4782,2024-08-13 01:21:28+00:00,2024-08-13 01:21:28+00:00,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
cognitivecomputations/dolphin-2.9.2-qwen2-72b,codegen,4772,2024-05-27 18:22:55+00:00,2024-05-27 18:22:55+00:00,False,,
Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5,code generation,4682,2024-03-07 00:48:06+00:00,2024-03-07 00:48:06+00:00,False,,
ibm-granite/granite-8b-code-base-4k,code generation,4595,2024-04-21 07:50:41+00:00,2024-04-21 07:50:41+00:00,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
cognitivecomputations/dolphin-2.9.3-mistral-7B-32k,codegen,4515,2024-06-25 02:12:42+00:00,2024-06-25 02:12:42+00:00,False,,
NousResearch/Hermes-3-Llama-3.1-70B-GGUF,code generation,4440,2024-08-06 00:51:45+00:00,2024-08-06 00:51:45+00:00,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
cognitivecomputations/dolphin-2.9.1-yi-1.5-9b,codegen,4150,2024-05-18 16:46:08+00:00,2024-05-18 16:46:08+00:00,False,,
NousResearch/Hermes-3-Llama-3.1-405B,code generation,4012,2024-08-13 04:57:53+00:00,2024-08-13 04:57:53+00:00,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
RichardErkhov/nvidia_-_Mistral-NeMo-Minitron-8B-Base-gguf,code generation,3821,2024-08-22 20:35:50+00:00,2024-08-22 20:35:50+00:00,True,report](https://arxiv.org/abs/2408.11796),https://arxiv.org/abs/2408.11796
bartowski/starcoder2-15b-instruct-v0.1-GGUF,code generation,3742,2024-04-29 22:16:56+00:00,2024-04-29 22:16:56+00:00,False,,
arcee-ai/Arcee-Spark,code generation,3737,2024-06-22 16:02:20+00:00,2024-06-22 16:02:20+00:00,False,,
TheBloke/tulu-7B-fp16,code generation,3640,2023-06-10 23:49:12+00:00,2023-06-10 23:49:12+00:00,True,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751
neuralmagic/DeepSeek-Coder-V2-Instruct-FP8,codegen,3623,2024-07-21 18:24:49+00:00,2024-07-21 18:24:49+00:00,False,,
Salesforce/codegen-16B-nl,code generation,3495,2022-04-13 00:51:56+00:00,2022-04-13 00:51:56+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
ibm-granite/granite-8b-code-instruct-128k,code generation,3462,2024-07-12 16:47:49+00:00,2024-07-12 16:47:49+00:00,True,Context](https://arxiv.org/abs/2407.13739),https://arxiv.org/abs/2407.13739
ibm/PowerLM-3b,code generation,3471,2024-08-14 18:20:58+00:00,2024-08-14 18:20:58+00:00,True,https://arxiv.org/abs/2408.13359,https://arxiv.org/abs/2408.13359
cognitivecomputations/dolphin-2.9-llama3-8b,codegen,3401,2024-04-20 23:14:52+00:00,2024-04-20 23:14:52+00:00,False,,
Locutusque/Hercules-2.5-Mistral-7B,code generation,3339,2024-02-10 08:23:41+00:00,2024-02-10 08:23:41+00:00,False,,
google/codegemma-2b,code generation,3311,2024-03-21 16:55:00+00:00,2024-03-21 16:55:00+00:00,False,,
cognitivecomputations/dolphin-2.9.1-llama-3-70b,codegen,3310,2024-05-22 00:57:56+00:00,2024-05-22 00:57:56+00:00,False,,
Salesforce/codegen-6B-nl,code generation,3270,2022-04-13 00:51:41+00:00,2022-04-13 00:51:41+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
ibm-granite/granite-34b-code-base-8k,code generation,3033,2024-04-21 07:51:00+00:00,2024-04-21 07:51:00+00:00,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
Salesforce/codet5-large,code generation,3002,2022-07-06 03:56:45+00:00,2022-07-06 03:56:45+00:00,True,Generation](https://arxiv.org/pdf/2109.00859.pdf),https://arxiv.org/pdf/2109.00859
bigcode/starencoder,code generation,2868,2023-03-13 14:59:15+00:00,2023-03-13 14:59:15+00:00,True,[BERT](https://arxiv.org/abs/1810.04805).,https://arxiv.org/abs/1810.04805
numind/NuExtract,code generation,2798,2024-05-31 09:53:13+00:00,2024-05-31 09:53:13+00:00,False,,
cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,codegen,2749,2024-05-18 04:50:56+00:00,2024-05-18 04:50:56+00:00,False,,
Salesforce/codet5p-770m-py,code generation,2730,2023-05-15 09:57:01+00:00,2023-05-15 09:57:01+00:00,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
cognitivecomputations/dolphin-2.9-llama3-8b-gguf,codegen,2699,2024-04-21 03:38:01+00:00,2024-04-21 03:38:01+00:00,False,,
WizardLMTeam/WizardCoder-15B-V1.0,codegen,2674,2023-06-14 10:43:19+00:00,2023-06-14 10:43:19+00:00,True,"href=""https://arxiv.org/abs/2304.12244""",https://arxiv.org/abs/2304.12244
IntervitensInc/Llama-3.1-Minitron-4B-Width-Base-chatml,code generation,2642,2024-08-20 21:50:19+00:00,2024-08-20 21:50:19+00:00,True,Understanding](https://arxiv.org/abs/2009.03300):,https://arxiv.org/abs/2009.03300
ThomasBaruzier/Llama-3.1-Minitron-4B-Width-Base-GGUF,code generation,2586,2024-08-17 00:00:14+00:00,2024-08-17 00:00:14+00:00,True,Understanding](https://arxiv.org/abs/2009.03300):,https://arxiv.org/abs/2009.03300
cognitivecomputations/dolphin-2.9.3-llama-3-8b,codegen,2524,2024-06-06 00:15:39+00:00,2024-06-06 00:15:39+00:00,False,,
tokyotech-llm/Llama-3-Swallow-70B-Instruct-v0.1,code generation,2520,2024-06-28 16:17:32+00:00,2024-06-28 16:17:32+00:00,False,,
Locutusque/Hercules-3.1-Mistral-7B,code generation,2517,2024-02-19 02:43:21+00:00,2024-02-19 02:43:21+00:00,False,,
arcee-ai/Arcee-Nova,code generation,2495,2024-07-16 13:50:49+00:00,2024-07-16 13:50:49+00:00,False,,
Qwen/Qwen2.5-Coder-7B-Instruct,code generation,2445,2024-09-17 13:38:49+00:00,2024-09-17 13:38:49+00:00,True,[Arxiv](https://arxiv.org/abs/2409.12186).,https://arxiv.org/abs/2409.12186
MaziyarPanahi/calme-2.2-qwen2-72b,code generation,2370,2024-07-09 21:54:03+00:00,2024-07-09 21:54:03+00:00,False,,
cognitivecomputations/dolphin-2.9.3-Yi-1.5-34B-32k,codegen,2302,2024-06-23 15:29:59+00:00,2024-06-23 15:29:59+00:00,False,,
QuantFactory/dolphin-2.9-llama3-8b-GGUF,codegen,2254,2024-04-21 03:05:01+00:00,2024-04-21 03:05:01+00:00,False,,
Salesforce/codegen2-16B_P,codegen,2182,2023-04-26 16:05:09+00:00,2023-04-26 16:05:09+00:00,True,Languages](https://arxiv.org/abs/2305.02309),https://arxiv.org/abs/2305.02309
tokyotech-llm/Llama-3-Swallow-70B-v0.1,code generation,2089,2024-06-14 05:56:33+00:00,2024-06-14 05:56:33+00:00,True,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733
bigcode/starcoder2-15b-instruct-v0.1,code generation,2088,2024-04-23 14:42:03+00:00,2024-04-23 14:42:03+00:00,False,,
neuralmagic/DeepSeek-Coder-V2-Lite-Instruct-FP8,codegen,2058,2024-07-17 18:33:42+00:00,2024-07-17 18:33:42+00:00,False,,
CohereForAI/c4ai-command-r-plus-08-2024,code-generation,1998,2024-08-21 09:23:17+00:00,2024-08-21 09:23:17+00:00,False,,
RichardErkhov/ibm-granite_-_granite-8b-code-base-128k-gguf,code generation,1952,2024-08-22 10:10:47+00:00,2024-08-22 10:10:47+00:00,True,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
QuantFactory/Mistral-NeMo-Minitron-8B-Base-GGUF,code generation,1867,2024-08-21 17:51:31+00:00,2024-08-21 17:51:31+00:00,True,Understanding](https://arxiv.org/abs/2009.03300):,https://arxiv.org/abs/2009.03300
braindao/iq-code-evmind-v2-llama3-code-8b-instruct,code generation,1837,2024-05-29 19:46:09+00:00,2024-05-29 19:46:09+00:00,False,,
NousResearch/Hermes-3-Llama-3.1-70B-FP8,code generation,1814,2024-08-06 15:42:03+00:00,2024-08-06 15:42:03+00:00,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
Qwen/Qwen2.5-Coder-7B-Instruct-GGUF,code generation,1774,2024-09-18 11:40:39+00:00,2024-09-18 11:40:39+00:00,True,[Arxiv](https://arxiv.org/abs/2409.12186).,https://arxiv.org/abs/2409.12186
inceptionai/jais-30b-chat-v3,code generation,1737,2024-02-14 07:47:06+00:00,2024-02-14 07:47:06+00:00,True,Models](https://arxiv.org/abs/2308.16149),https://arxiv.org/abs/2308.16149
GPT4All-Community/Phi-3.1-mini-128k-instruct-GGUF,code generation,1681,2024-07-31 00:38:31+00:00,2024-07-31 00:38:31+00:00,False,,
codeparrot/codeparrot,code generation,1673,2022-03-02 23:29:05+00:00,2022-03-02 23:29:05+00:00,False,,
Salesforce/codegen-2B-multi,code generation,1585,2022-04-11 23:18:25+00:00,2022-04-11 23:18:25+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
OpenLemur/lemur-70b-chat-v1,code generation,1357,2023-08-23 07:29:55+00:00,2023-08-23 07:29:55+00:00,True,https://arxiv.org/abs/2310.06830,https://arxiv.org/abs/2310.06830
Salesforce/codegen-6B-multi,code generation,1326,2022-04-13 00:51:28+00:00,2022-04-13 00:51:28+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
Mozilla/Phi-3-medium-128k-instruct-llamafile,code generation,1307,2024-06-24 15:15:08+00:00,2024-06-24 15:15:08+00:00,False,,
m-a-p/OpenCodeInterpreter-DS-33B,code generation,1246,2024-02-19 05:40:33+00:00,2024-02-19 05:40:33+00:00,True,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658
lmstudio-community/starcoder2-15b-instruct-v0.1-GGUF,code generation,1216,2024-04-30 13:58:47+00:00,2024-04-30 13:58:47+00:00,False,,
unsloth/c4ai-command-r-08-2024-bnb-4bit,code-generation,1175,2024-08-30 19:50:24+00:00,2024-08-30 19:50:24+00:00,False,,
predibase/magicoder,code generation,1140,2024-02-19 22:50:22+00:00,2024-02-19 22:50:22+00:00,False,,
onnx-community/Phi-3.5-mini-instruct-onnx-web,code generation,1106,2024-08-21 18:25:39+00:00,2024-08-21 18:25:39+00:00,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
TheBloke/WizardCoder-33B-V1.1-GGUF,code generation,1083,2024-01-04 17:19:01+00:00,2024-01-04 17:19:01+00:00,True,"href=""https://arxiv.org/abs/2304.12244""",https://arxiv.org/abs/2304.12244
Salesforce/codegen2-1B_P,codegen,1078,2023-04-25 01:42:39+00:00,2023-04-25 01:42:39+00:00,True,Languages](https://arxiv.org/abs/2305.02309),https://arxiv.org/abs/2305.02309
Salesforce/codegen-350M-nl,code generation,1032,2022-04-11 15:19:18+00:00,2022-04-11 15:19:18+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
Salesforce/codegen-2B-mono,code generation,1001,2022-04-11 23:18:40+00:00,2022-04-11 23:18:40+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
MaziyarPanahi/calme-2.4-rys-78b,code generation,978,2024-08-07 14:38:21+00:00,2024-08-07 14:38:21+00:00,False,,
tokyotech-llm/Swallow-MS-7b-v0.1,code generation,956,2024-02-01 01:12:16+00:00,2024-02-01 01:12:16+00:00,True,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733
inceptionai/jais-30b-chat-v1,code generation,912,2023-11-06 09:54:24+00:00,2023-11-06 09:54:24+00:00,True,Models](https://arxiv.org/abs/2308.16149),https://arxiv.org/abs/2308.16149
Salesforce/codegen-6B-mono,code generation,869,2022-04-13 00:51:11+00:00,2022-04-13 00:51:11+00:00,True,Synthesis](https://arxiv.org/abs/2203.13474),https://arxiv.org/abs/2203.13474
IEITYuan/Yuan2-M32-gguf,code generation,866,2024-05-27 08:17:40+00:00,2024-05-27 08:17:40+00:00,True,"href=""https://arxiv.org/abs/2405.17976""",https://arxiv.org/abs/2405.17976
TheBloke/Python-Code-33B-GGUF,code generation,865,2023-11-14 18:53:03+00:00,2023-11-14 18:53:03+00:00,False,,
qwp4w3hyb/c4ai-command-r-v01-iMat-GGUF,code-generation,857,2024-04-09 21:25:51+00:00,2024-04-09 21:25:51+00:00,False,,
TheBloke/Python-Code-13B-GGUF,code generation,856,2023-11-14 18:21:12+00:00,2023-11-14 18:21:12+00:00,False,,
qwp4w3hyb/c4ai-command-r-plus-iMat-GGUF,code-generation,846,2024-04-12 09:13:23+00:00,2024-04-12 09:13:23+00:00,False,,
Salesforce/codet5p-2b,code generation,830,2023-05-17 02:24:16+00:00,2023-05-17 02:24:16+00:00,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
Salesforce/codet5p-220m-py,code generation,828,2023-05-15 09:57:52+00:00,2023-05-15 09:57:52+00:00,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
nicholasKluge/TeenyTinyLlama-160m,code generation,827,2023-12-13 14:43:28+00:00,2023-12-13 14:43:28+00:00,False,,
RichardErkhov/microsoft_-_Phi-3.5-mini-instruct-gguf,code generation,809,2024-08-25 07:15:39+00:00,2024-08-25 07:15:39+00:00,True,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219
QuantFactory/Llama-3.1-Minitron-4B-Width-Base-GGUF,code generation,796,2024-08-24 05:26:24+00:00,2024-08-24 05:26:24+00:00,True,report](https://arxiv.org/abs/2408.11796),https://arxiv.org/abs/2408.11796
wenge-research/yayi-7b,code generation,708,2023-06-02 02:23:58+00:00,2023-06-02 02:23:58+00:00,False,,
RUCKBReasoning/TableLLM-13b,code generation,701,2024-02-05 14:51:41+00:00,2024-02-05 14:51:41+00:00,True,**[Paper](https://arxiv.org/abs/2403.19318)**,https://arxiv.org/abs/2403.19318
ibm-granite/granite-20b-code-base-r1.1,code generation,693,2024-07-09 20:03:38+00:00,2024-07-09 20:03:38+00:00,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
senseable/33x-coder,code generation,687,2024-01-04 22:53:25+00:00,2024-01-04 22:53:25+00:00,False,,
OpenLemur/lemur-70b-v1,code generation,685,2023-08-23 11:44:09+00:00,2023-08-23 11:44:09+00:00,True,https://arxiv.org/abs/2310.06830,https://arxiv.org/abs/2310.06830
QuantFactory/calme-2.1-phi3.5-4b-GGUF,code generation,680,2024-09-04 13:13:56+00:00,2024-09-04 13:13:56+00:00,False,,
ajibawa-2023/Python-Code-33B,code generation,677,2023-11-13 05:14:01+00:00,2023-11-13 05:14:01+00:00,False,,
TheBloke/tulu-13B-fp16,code generation,675,2023-06-10 22:53:01+00:00,2023-06-10 22:53:01+00:00,True,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751
ajibawa-2023/Python-Code-13B,code generation,675,2023-11-11 10:48:22+00:00,2023-11-11 10:48:22+00:00,False,,
ajibawa-2023/Code-13B,code generation,675,2023-12-08 18:41:07+00:00,2023-12-08 18:41:07+00:00,False,,
TheBloke/tulu-30B-fp16,code generation,674,2023-06-10 20:24:18+00:00,2023-06-10 20:24:18+00:00,True,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751
OpenAssistant/pythia-12b-pre-v8-12.5k-steps,codegen,664,2023-05-05 22:39:17+00:00,2023-05-05 22:39:17+00:00,False,,
budecosystem/code-millenials-34b,code generation,661,2024-01-02 17:21:40+00:00,2024-01-02 17:21:40+00:00,False,,
CohereForAI/c4ai-command-r-plus-4bit,code-generation,661,2024-04-03 19:05:18+00:00,2024-04-03 19:05:18+00:00,False,,
budecosystem/code-millenials-13b,code generation,658,2024-01-02 09:16:08+00:00,2024-01-02 09:16:08+00:00,False,,
cognitivecomputations/yayi2-30b-llama,code generation,658,2023-12-31 14:02:53+00:00,2023-12-31 14:02:53+00:00,True,2](https://arxiv.org/abs/2307.09288),https://arxiv.org/abs/2307.09288
ajibawa-2023/Code-33B,code generation,650,2023-12-12 17:52:59+00:00,2023-12-12 17:52:59+00:00,False,,
sharoz/codegen-350M-mono-custom-functions-dataset-python_v2,codegen,644,2023-05-01 12:30:01+00:00,2023-05-01 12:30:01+00:00,False,,
budecosystem/genz-13b-v2,code generation,644,2023-07-26 05:40:09+00:00,2023-07-26 05:40:09+00:00,False,,
deepse/CodeUp-Llama-2-13b-chat-hf,code generation,643,2023-08-01 05:44:51+00:00,2023-08-01 05:44:51+00:00,True,[LoRA](https://arxiv.org/abs/2106.09685)),https://arxiv.org/abs/2106.09685
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,code-gen,635,2023-05-05 20:04:05+00:00,2023-05-05 20:04:05+00:00,True,"Attention](https://arxiv.org/abs/1911.02150),",https://arxiv.org/abs/1911.02150
mavihsrr/GetCode-slerp,codegen,627,2024-01-15 22:52:59+00:00,2024-01-15 22:52:59+00:00,False,,
NumbersStation/nsql-350M,codegen,626,2023-07-04 02:29:52+00:00,2023-07-04 02:29:52+00:00,False,,
ajibawa-2023/Code-290k-13B,code generation,619,2024-01-16 17:35:23+00:00,2024-01-16 17:35:23+00:00,False,,
THUDM/codegeex4-all-9b-GGUF,code generation,618,2024-07-13 07:46:53+00:00,2024-07-13 07:46:53+00:00,False,,
